ye case.dat
lerininkilerdenimdir p3p,case.gen,<ki>,num.pl,case.abl,cop.gen.1p.sg
lerininkilerdensindir p3p,case.gen,<ki>,num.pl,case.abl,cop.gen.2p.sg
lerininkilerdendir p3p,case.gen,<ki>,num.pl,case.abl,cop.gen.3p.sg
lerininkilerdenizdir p3p,case.gen,<ki>,num.pl,case.abl,cop.gen.1p.pl
lerininkilerdensinizdir p3p,case.gen,<ki>,num.pl,case.abl,cop.gen.2p.pl
lerininkilerdendirler p3p,case.gen,<ki>,num.pl,case.abl,cop.gen.3p.pl
lerininkilerdenlerdir p3p,case.gen,<ki>,num.pl,case.abl,cop.gen.3p.pl
lerininkilerdenim p3p,case.gen,<ki>,num.pl,case.abl,cop.pres,v1s
lerininkilerdensin p3p,case.gen,<ki>,num.pl,case.abl,cop.pres,v2s
lerininkilerdenyiz p3p,case.gen,<ki>,num.pl,case.abl,cop.pres,v1p
lerininkilerdensiniz p3p,case.gen,<ki>,num.pl,case.abl,cop.pres,v2p
lerininkilerdenler p3p,case.gen,<ki>,num.pl,case.abl,cop.pres,v3p
lerininkilerdensem p3p,case.gen,<ki>,num.pl,case.abl,cop.cond,v1s
lerininkilerdensen p3p,case.gen,<ki>,num.pl,case.abl,cop.cond,v2s
lerininkilerdense p3p,case.gen,<ki>,num.pl,case.abl,cop.cond,v3s
lerininkilerdensek p3p,case.gen,<ki>,num.pl,case.abl,cop.cond,v1p
lerininkilerdenseniz p3p,case.gen,<ki>,num.pl,case.abl,cop.cond,v2p
lerininkilerdenseler p3p,case.gen,<ki>,num.pl,case.abl,cop.cond,v3p
lerininkilerdendim p3p,case.gen,<ki>,num.pl,case.abl,cop.past,v1s
lerininkilerdendin p3p,case.gen,<ki>,num.pl,case.abl,cop.past,v2s
lerininkilerdendi p3p,case.gen,<ki>,num.pl,case.abl,cop.past,v3s
lerininkilerdendik p3p,case.gen,<ki>,num.pl,case.abl,cop.past,v1p
lerininkilerdendiniz p3p,case.gen,<ki>,num.pl,case.abl,cop.past,v2p
lerininkilerdenlerdi p3p,case.gen,<ki>,num.pl,case.abl,cop.past,v3p
lerininkilerdendiler p3p,case.gen,<ki>,num.pl,case.abl,cop.past,v3p
lerininkilerdenmişim p3p,case.gen,<ki>,num.pl,case.abl,cop.evid,v1s
lerininkilerdenmişsin p3p,case.gen,<ki>,num.pl,case.abl,cop.evid,v2s
lerininkilerdenmiş p3p,case.gen,<ki>,num.pl,case.abl,cop.evid,v3s
lerininkilerdenmişiz p3p,case.gen,<ki>,num.pl,case.abl,cop.evid,v1p
lerininkilerdenmişsiniz p3p,case.gen,<ki>,num.pl,case.abl,cop.evid,v2p
lerininkilerdeymişler p3p,case.gen,<ki>,num.pl,case.abl,cop.evid,v3p
lerininkilerdenlermiş p3p,case.gen,<ki>,num.pl,case.abl,cop.evid,v3p
lerininkilerleyken p3p,case.gen,<ki>,num.pl,case.instr,converb
lerininkilerleykenki p3p,case.gen,<ki>,num.pl,case.instr,converb,<ki>
lerininkilerleyimdir p3p,case.gen,<ki>,num.pl,case.instr,cop.gen.1p.sg
lerininkilerlesindir p3p,case.gen,<ki>,num.pl,case.instr,cop.gen.2p.sg
lerininkilerledir p3p,case.gen,<ki>,num.pl,case.instr,cop.gen.3p.sg
lerininkilerleyizdir p3p,case.gen,<ki>,num.pl,case.instr,cop.gen.1p.pl
lerininkilerlesinizdir p3p,case.gen,<ki>,num.pl,case.instr,cop.gen.2p.pl
lerininkilerledirler p3p,case.gen,<ki>,num.pl,case.instr,cop.gen.3p.pl
lerininkilerlelerdir p3p,case.gen,<ki>,num.pl,case.instr,cop.gen.3p.pl
lerininkilerleyim p3p,case.gen,<ki>,num.pl,case.instr,cop.pres,v1s
lerininkilerlesin p3p,case.gen,<ki>,num.pl,case.instr,cop.pres,v2s
lerininkilerleyiz p3p,case.gen,<ki>,num.pl,case.instr,cop.pres,v1p
lerininkilerlesiniz p3p,case.gen,<ki>,num.pl,case.instr,cop.pres,v2p
lerininkilerleler p3p,case.gen,<ki>,num.pl,case.instr,cop.pres,v3p
lerininkilerlelerken p3p,case.gen,<ki>,num.pl,case.instr,cop.pres,v3p,converb
lerininkilerlelerse p3p,case.gen,<ki>,num.pl,case.instr,cop.cond,v3p
lerininkilerleysem p3p,case.gen,<ki>,num.pl,case.instr,cop.cond,v1s
lerininkilerleysen p3p,case.gen,<ki>,num.pl,case.instr,cop.cond,v2s
lerininkilerleyse p3p,case.gen,<ki>,num.pl,case.instr,cop.cond,v3s
lerininkilerleysek p3p,case.gen,<ki>,num.pl,case.instr,cop.cond,v1p
lerininkilerleyseniz p3p,case.gen,<ki>,num.pl,case.instr,cop.cond,v2p
lerininkilerleyseler p3p,case.gen,<ki>,num.pl,case.instr,cop.cond,v3p
lerininkilerleydim p3p,case.gen,<ki>,num.pl,case.instr,cop.past,v1s
lerininkilerleydin p3p,case.gen,<ki>,num.pl,case.instr,cop.past,v2s
lerininkilerleydi p3p,case.gen,<ki>,num.pl,case.instr,cop.past,v3s
lerininkilerleydik p3p,case.gen,<ki>,num.pl,case.instr,cop.past,v1p
lerininkilerleydiniz p3p,case.gen,<ki>,num.pl,case.instr,cop.past,v2p
lerininkilerlelerdi p3p,case.gen,<ki>,num.pl,case.instr,cop.past,v3p
lerininkilerleydiler p3p,case.gen,<ki>,num.pl,case.instr,cop.past,v3p
lerininkilerleymişim p3p,case.gen,<ki>,num.pl,case.instr,cop.evid,v1s
lerininkilerleymişsin p3p,case.gen,<ki>,num.pl,case.instr,cop.evid,v2s
lerininkilerleymiş p3p,case.gen,<ki>,num.pl,case.instr,cop.evid,v3s
lerininkilerleymişiz p3p,case.gen,<ki>,num.pl,case.instr,cop.evid,v1p
lerininkilerleymişsiniz p3p,case.gen,<ki>,num.pl,case.instr,cop.evid,v2p
lerininkilerleymişler p3p,case.gen,<ki>,num.pl,case.instr,cop.evid,v3p
lerininkilerlelermiş p3p,case.gen,<ki>,num.pl,case.instr,cop.evid,v3p
lerininkilerinken p3p,case.gen,<ki>,num.pl,case.gen,converb
lerininkilerinkenki p3p,case.gen,<ki>,num.pl,case.gen,converb,<ki>
lerininkilerinimdir p3p,case.gen,<ki>,num.pl,case.gen,cop.gen.1p.sg
lerininkilerinsindir p3p,case.gen,<ki>,num.pl,case.gen,cop.gen.2p.sg
lerininkilerindir p3p,case.gen,<ki>,num.pl,case.gen,cop.gen.3p.sg
lerininkilerinizdir p3p,case.gen,<ki>,num.pl,case.gen,cop.gen.1p.pl
lerininkilerinsinizdir p3p,case.gen,<ki>,num.pl,case.gen,cop.gen.2p.pl
lerininkilerindirler p3p,case.gen,<ki>,num.pl,case.gen,cop.gen.3p.pl
lerininkilerinlerdir p3p,case.gen,<ki>,num.pl,case.gen,cop.gen.3p.pl
lerininkilerinim p3p,case.gen,<ki>,num.pl,case.gen,cop.pres,v1s
lerininkilerinsin p3p,case.gen,<ki>,num.pl,case.gen,cop.pres,v2s
lerininkileriniz p3p,case.gen,<ki>,num.pl,case.gen,cop.pres,v1p
lerininkilerinsiniz p3p,case.gen,<ki>,num.pl,case.gen,cop.pres,v2p
lerininkilerinler p3p,case.gen,<ki>,num.pl,case.gen,cop.pres,v3p
lerininkilerinsem p3p,case.gen,<ki>,num.pl,case.gen,cop.cond,v1s
lerininkilerinsen p3p,case.gen,<ki>,num.pl,case.gen,cop.cond,v2s
lerininkilerinse p3p,case.gen,<ki>,num.pl,case.gen,cop.cond,v3s
lerininkilerinsek p3p,case.gen,<ki>,num.pl,case.gen,cop.cond,v1p
lerininkilerinseniz p3p,case.gen,<ki>,num.pl,case.gen,cop.cond,v2p
lerininkilerinseler p3p,case.gen,<ki>,num.pl,case.gen,cop.cond,v3p
lerininkilerindim p3p,case.gen,<ki>,num.pl,case.gen,cop.past,v1s
lerininkilerindin p3p,case.gen,<ki>,num.pl,case.gen,cop.past,v2s
lerininkilerindi p3p,case.gen,<ki>,num.pl,case.gen,cop.past,v3s
lerininkilerindik p3p,case.gen,<ki>,num.pl,case.gen,cop.past,v1p
lerininkilerindiniz p3p,case.gen,<ki>,num.pl,case.gen,cop.past,v2p
lerininkilerinlerdi p3p,case.gen,<ki>,num.pl,case.gen,cop.past,v3p
lerininkilerindiler p3p,case.gen,<ki>,num.pl,case.gen,cop.past,v3p
lerininkilerinmişim p3p,case.gen,<ki>,num.pl,case.gen,cop.evid,v1s
lerininkilerinmişsin p3p,case.gen,<ki>,num.pl,case.gen,cop.evid,v2s
lerininkilerinmiş p3p,case.gen,<ki>,num.pl,case.gen,cop.evid,v3s
lerininkilerinmişiz p3p,case.gen,<ki>,num.pl,case.gen,cop.evid,v1p
lerininkilerinmişsiniz p3p,case.gen,<ki>,num.pl,case.gen,cop.evid,v2p
lerininkilerinmişler p3p,case.gen,<ki>,num.pl,case.gen,cop.evid,v3p
lerininkilerinlermiş p3p,case.gen,<ki>,num.pl,case.gen,cop.evid,v3p
leriymişimcesine p3p,cop.evid.conv.1p.sg
leriymişsincesine p3p,cop.evid.conv.2p.sg
leriymişçesine p3p,cop.evid.conv.3p.sg
leriymişizcesine p3p,cop.evid.conv.1p.pl
leriymişsinizcesine p3p,cop.evid.conv.2p.pl
leriymişlercesine p3p,cop.evid.conv.3p.pl
lerilermişçesine p3p,cop.evid.conv.3p.pl
lerininmişimcesine p3p,case.gen,cop.evid.conv.1p.sg
lerininmişsincesine p3p,case.gen,cop.evid.conv.2p.sg
lerininmişçesine p3p,case.gen,cop.evid.conv.3p.sg
lerininmişizcesine p3p,case.gen,cop.evid.conv.1p.pl
lerininmişsinizcesine p3p,case.gen,cop.evid.conv.2p.pl
lerininmişlercesine p3p,case.gen,cop.evid.conv.3p.pl
lerininlermişçesine p3p,case.gen,cop.evid.conv.3p.pl
leriyleymişimcesine p3p,case.instr,cop.evid.conv.1p.sg
leriyleymişsincesine p3p,case.instr,cop.evid.conv.2p.sg
leriyleymişçesine p3p,case.instr,cop.evid.conv.3p.sg
leriyleymişizcesine p3p,case.instr,cop.evid.conv.1p.pl
leriyleymişsinizcesine p3p,case.instr,cop.evid.conv.2p.pl
leriyleymişlercesine p3p,case.instr,cop.evid.conv.3p.pl
leriylelermişçesine p3p,case.instr,cop.evid.conv.3p.pl
lerininkiymişimcesine p3p,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.1p.sg
lerininkiymişsincesine p3p,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.2p.sg
lerininkiymişçesine p3p,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.3p.sg
lerininkiymişizcesine p3p,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.1p.pl
lerininkiymişsinizcesine p3p,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.2p.pl
lerininkiymişlercesine p3p,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.3p.pl
lerininkilermişçesine p3p,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.3p.pl
lerininkilermişimcesine p3p,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.1p.sg
lerininkilermişsincesine p3p,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.2p.sg
lerininkilermişçesine p3p,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.3p.sg
lerininkilermişizcesine p3p,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.1p.pl
lerininkilermişsinizcesine p3p,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.2p.pl
lerininkilermişlercesine p3p,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.3p.pl
lerindeymişimcesine p3p,num.sg,case.loc,cop.evid.conv.1p.sg
lerindeymişsincesine p3p,num.sg,case.loc,cop.evid.conv.2p.sg
lerindeymişçesine p3p,num.sg,cop.evid.conv.3p.sg
lerindeymişizcesine p3p,num.sg,cop.evid.conv.1p.pl
lerindeymişsinizcesine p3p,num.sg,cop.evid.conv.2p.pl
lerindeymişlercesine p3p,num.sg,cop.evid.conv.3p.pl
lerindelermişçesine p3p,num.sg,cop.evid.conv.3p.pl
lerindelermişimcesine p3p,case.loc,cop.pres,v3p,cop.evid.conv.1p.sg
lerindelermişsincesine p3p,case.loc,cop.pres,v3p,cop.evid.conv.2p.sg
lerindelermişçesine p3p,case.loc,cop.pres,v3p,cop.evid.conv.3p.sg
lerindelermişizcesine p3p,case.loc,cop.pres,v3p,cop.evid.conv.1p.pl
lerindelermişsinizcesine p3p,case.loc,cop.pres,v3p,cop.evid.conv.2p.pl
lerindelermişlercesine p3p,case.loc,cop.pres,v3p,cop.evid.conv.3p.pl
lerindelermişçesine p3p,case.loc,cop.pres,v3p,cop.evid.conv.3p.pl
lerindekiymişimcesine p3p,case.loc,<ki>,cop.evid.conv.1p.sg
lerindekiymişsincesine p3p,case.loc,<ki>,cop.evid.conv.2p.sg
lerindekiymişçesine p3p,case.loc,<ki>,cop.evid.conv.3p.sg
lerindekiymişizcesine p3p,case.loc,<ki>,cop.evid.conv.1p.pl
lerindekiymişsinizcesine p3p,case.loc,<ki>,cop.evid.conv.2p.pl
lerindekiymişlercesine p3p,case.loc,<ki>,cop.evid.conv.3p.pl
lerindekilermişçesine p3p,case.loc,<ki>,cop.evid.conv.3p.pl
lerindekineymişçesine p3p,case.loc,<ki>,case.dat,cop.evid.conv.3p.sg
lerindekindeymişçesine p3p,case.loc,<ki>,case.loc,cop.evid.conv.3p.sg
lerindekindenmişimcesine p3p,case.loc,<ki>,case.abl,cop.evid.conv.1p.sg
lerindekindenmişsincesine p3p,case.loc,<ki>,case.abl,cop.evid.conv.2p.sg
lerindekindenmişçesine p3p,case.loc,<ki>,case.abl,cop.evid.conv.3p.sg
lerindekindenmişizcesine p3p,case.loc,<ki>,case.abl,cop.evid.conv.1p.pl
lerindekindenmişsinizcesine p3p,case.loc,<ki>,case.abl,cop.evid.conv.2p.pl
lerindekindenmişlercesine p3p,case.loc,<ki>,case.abl,cop.evid.conv.3p.pl
lerindekilerinmişimcesine p3p,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.1p.sg
lerindekilerinmişsincesine p3p,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.2p.sg
lerindekilerinmişçesine p3p,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.3p.sg
lerindekilerinmişizcesine p3p,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.1p.pl
lerindekilerinmişsinizcesine p3p,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.2p.pl
lerindekilerinmişlercesine p3p,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.3p.pl
lerindekilerinkiymişimcesine p3p,case.loc,<ki>,num.pl,case.gen,<ki>,cop.evid.conv.1p.sg
lerindekilerinkiymişsincesine p3p,case.loc,<ki>,num.pl,case.gen,<ki>,cop.evid.conv.2p.sg
lerindekilerinkiymişçesine p3p,case.loc,<ki>,num.pl,case.gen,<ki>,cop.evid.conv.3p.sg
lerindekilerinkiymişizcesine p3p,case.loc,<ki>,num.pl,case.gen,<ki>,cop.evid.conv.1p.pl
lerindekilerinkiymişsinizcesine p3p,case.loc,<ki>,num.pl,case.gen,<ki>,cop.evid.conv.2p.pl
lerindekilerinkiymişlercesine p3p,case.loc,<ki>,num.pl,case.gen,<ki>,cop.evid.conv.3p.pl
lerindekilerdeymişimcesine p3p,case.loc,<ki>,num.pl,case.loc,cop.evid.conv.1p.sg
lerindekilerdeymişsincesine p3p,case.loc,<ki>,num.pl,case.loc,cop.evid.conv.2p.sg
lerindekilerdeymişçesine p3p,case.loc,<ki>,num.pl,case.loc,cop.evid.conv.3p.sg
lerindekilerdeymişizcesine p3p,case.loc,<ki>,num.pl,case.loc,cop.evid.conv.1p.pl
lerindekilerdeymişsinizcesine p3p,case.loc,<ki>,num.pl,case.loc,cop.evid.conv.2p.pl
lerindekilerdeymişlercesine p3p,case.loc,<ki>,num.pl,case.loc,cop.evid.conv.3p.pl
lerindekilerdenmişimcesine p3p,case.loc,<ki>,num.pl,case.abl,cop.evid.conv.1p.sg
lerindekilerdenmişsincesine p3p,case.loc,<ki>,num.pl,case.abl,cop.evid.conv.2p.sg
lerindekilerdenmişçesine p3p,case.loc,<ki>,num.pl,case.abl,cop.evid.conv.3p.sg
lerindekilerdeymişizcesine p3p,case.loc,<ki>,num.pl,case.abl,cop.evid.conv.1p.pl
lerindekilerdeymişsinizcesine p3p,case.loc,<ki>,num.pl,case.abl,cop.evid.conv.2p.pl
lerindekilerdeymişlercesine p3p,case.loc,<ki>,num.pl,case.abl,cop.evid.conv.3p.pl
lerindekilerleymişimcesine p3p,case.loc,<ki>,num.pl,case.instr,cop.evid.conv.1p.sg
lerindekilerleymişsincesine p3p,case.loc,<ki>,num.pl,case.instr,cop.evid.conv.2p.sg
lerindekilerleymişçesine p3p,case.loc,<ki>,num.pl,case.instr,cop.evid.conv.3p.sg
lerindekilerleymişizcesine p3p,case.loc,<ki>,num.pl,case.instr,cop.evid.conv.1p.pl
lerindekilerleymişsinizcesine p3p,case.loc,<ki>,num.pl,case.instr,cop.evid.conv.2p.pl
lerindekilerleymişlercesine p3p,case.loc,<ki>,num.pl,case.instr,cop.evid.conv.3p.pl
lerininkilerdeymişimcesine p3p,case.gen,<ki>,num.pl,case.loc,cop.evid.conv.1p.sg
lerininkilerdeymişsincesine p3p,case.gen,<ki>,num.pl,case.loc,cop.evid.conv.2p.sg
lerininkilerdeymişçesine p3p,case.gen,<ki>,num.pl,case.loc,cop.evid.conv.3p.sg
lerininkilerdeymişizcesine p3p,case.gen,<ki>,num.pl,case.loc,cop.evid.conv.1p.pl
lerininkilerdeymişsinizcesine p3p,case.gen,<ki>,num.pl,case.loc,cop.evid.conv.2p.pl
lerininkilerdeymişlercesine p3p,case.gen,<ki>,num.pl,case.loc,cop.evid.conv.3p.pl
lerininkilerdenmişimcesine p3p,case.gen,<ki>,num.pl,case.abl,cop.evid.conv.1p.sg
lerininkilerdenmişsincesine p3p,case.gen,<ki>,num.pl,case.abl,cop.evid.conv.2p.sg
lerininkilerdenmişçesine p3p,case.gen,<ki>,num.pl,case.abl,cop.evid.conv.3p.sg
lerininkilerdenmişizcesine p3p,case.gen,<ki>,num.pl,case.abl,cop.evid.conv.1p.pl
lerininkilerdenmişsinizcesine p3p,case.gen,<ki>,num.pl,case.abl,cop.evid.conv.2p.pl
lerininkilerdenmişlercesine p3p,case.gen,<ki>,num.pl,case.abl,cop.evid.conv.3p.pl
lerininkilereymişimcesine p3p,case.gen,<ki>,num.pl,case.dat,cop.evid.conv.1p.sg
lerininkilereymişsincesine p3p,case.gen,<ki>,num.pl,case.dat,cop.evid.conv.2p.sg
lerininkilereymişçesine p3p,case.gen,<ki>,num.pl,case.dat,cop.evid.conv.3p.sg
lerininkilereymişizcesine p3p,case.gen,<ki>,num.pl,case.dat,cop.evid.conv.1p.pl
lerininkilereymişsinizcesine p3p,case.gen,<ki>,num.pl,case.dat,cop.evid.conv.2p.pl
lerininkilereymişlercesine p3p,case.gen,<ki>,num.pl,case.dat,cop.evid.conv.3p.pl
lerininkineymişimcesine p3p,case.gen,<ki>,num.sg,case.dat,cop.evid.conv.1p.sg
lerininkineymişsincesine p3p,case.gen,<ki>,num.sg,case.dat,cop.evid.conv.2p.sg
lerininkineymişçesine p3p,case.gen,<ki>,num.sg,case.dat,cop.evid.conv.3p.sg
lerininkineymişizcesine p3p,case.gen,<ki>,num.sg,case.dat,cop.evid.conv.1p.pl
lerininkineymişsinizcesine p3p,case.gen,<ki>,num.sg,case.dat,cop.evid.conv.2p.pl
lerininkineymişlercesine p3p,case.gen,<ki>,num.sg,case.dat,cop.evid.conv.3p.pl
lerininlermişçesine p3p,case.gen,cop.pres,v3p,cop.evid.conv.3p.sg
lerineymişçesine p3p,case.dat,cop.evid.conv.3p.sg
lerindekilermişimcesine p3p,case.loc,<ki>,num.pl,cop.evid.conv.1p.sg
lerindekilermişsincesine p3p,case.loc,<ki>,num.pl,cop.evid.conv.2p.sg
lerindekilermişçesine p3p,case.loc,<ki>,num.pl,cop.evid.conv.3p.sg
lerindekilermişizcesine p3p,case.loc,<ki>,num.pl,cop.evid.conv.1p.pl
lerindekilermişsinizcesine p3p,case.loc,<ki>,num.pl,cop.evid.conv.2p.pl
lerindekilermişlercesine p3p,case.loc,<ki>,num.pl,cop.evid.conv.3p.pl
lerindekiyleymişimcesine p3p,case.loc,<ki>,case.instr,cop.evid.conv.1p.sg 
lerindekiyleymişsincesine p3p,case.loc,<ki>,case.instr,cop.evid.conv.2p.sg
lerindekiyleymişçesine p3p,case.loc,<ki>,case.instr,cop.evid.conv.3p.sg
lerindekiyleymişizcesine p3p,case.loc,<ki>,case.instr,cop.evid.conv.1p.pl
lerindekiyleymişsinizcesine p3p,case.loc,<ki>,case.instr,cop.evid.conv.2p.pl
lerindekiyleymişlercesine p3p,case.loc,<ki>,case.instr,cop.evid.conv.3p.pl
lerindekiylelermişçesine p3p,case.loc,<ki>,case.instr,cop.evid.conv.3p.pl
lerindenmişimcesine p3p,case.abl,cop.evid.conv.1p.sg
lerindenmişsincesine p3p,case.abl,cop.evid.conv.2p.sg
lerindenmişçesine p3p,case.abl,cop.evid.conv.3p.sg
lerindenmişizcesine p3p,case.abl,cop.evid.conv.1p.pl
lerindenmişsinizcesine p3p,case.abl,cop.evid.conv.2p.pl
lerindenmişlercesine p3p,case.abl,cop.evid.conv.3p.pl
lerime num.pl,p1s,case.dat
lerimeyken num.pl,p1s,case.dat,converb
lerimeykenki num.pl,p1s,case.dat,converb,<ki>
lerimeysem num.pl,p1s,case.dat,cop.cond,v1s
lerimeysen num.pl,p1s,case.dat,cop.cond,v2s
lerimeyse num.pl,p1s,case.dat,cop.cond,v3s
lerimeysek num.pl,p1s,case.dat,cop.cond,v1p
lerimeyseniz num.pl,p1s,case.dat,cop.cond,v2p
lerimeyseler num.pl,p1s,case.dat,cop.cond,v3p
lerimelerse num.pl,p1s,case.dat,cop.cond,v3p
lerimeyim num.pl,p1s,case.dat,cop.pres,v1s
lerimesin num.pl,p1s,case.dat,cop.pres,v2s
lerimeyiz num.pl,p1s,case.dat,cop.pres,v1p
lerimesiniz num.pl,p1s,case.dat,cop.pres,v2p
lerimeler num.pl,p1s,case.dat,cop.pres,v3p
lerimelerken num.pl,p1s,case.dat,cop.pres,v3p,converb
lerimeydim num.pl,p1s,case.dat,cop.past,v1s
lerimeydin num.pl,p1s,case.dat,cop.past,v2s
lerimeydi num.pl,p1s,case.dat,cop.past,v3s
lerimeydik num.pl,p1s,case.dat,cop.past,v1p
lerimeydiniz num.pl,p1s,case.dat,cop.past,v2p
lerimeydiler num.pl,p1s,case.dat,cop.past,v3p
lerimelerdi num.pl,p1s,case.dat,cop.past,v3p
lerimeymişim num.pl,p1s,case.dat,cop.evid,v1s
lerimeymişsin num.pl,p1s,case.dat,cop.evid,v2s
lerimeymiş num.pl,p1s,case.dat,cop.evid,v3s
lerimeymişiz num.pl,p1s,case.dat,cop.evid,v1p
lerimeymişsiniz num.pl,p1s,case.dat,cop.evid,v2p
lerimeymişler num.pl,p1s,case.dat,cop.evid,v3p
lerimelermiş num.pl,p1s,case.dat,cop.evid,v3p
lerimeyimdir num.pl,p1s,case.dat,cop.gen.1p.sg
lerimesindir num.pl,p1s,case.dat,cop.gen.2p.sg
lerimedir num.pl,p1s,case.dat,cop.gen.3p.sg
lerimeyizdir num.pl,p1s,case.dat,cop.gen.1p.pl
lerimesinizdir num.pl,p1s,case.dat,cop.gen.2p.pl
lerimedirler num.pl,p1s,case.dat,cop.gen.3p.pl
lerimelerdir num.pl,p1s,case.dat,cop.gen.3p.pl
lerimden num.pl,p1s,case.abl
lerimdenken num.pl,p1s,case.abl,converb
lerimdensem num.pl,p1s,case.abl,cop.cond,v1s
lerimdensen num.pl,p1s,case.abl,cop.cond,v2s
lerimdense num.pl,p1s,case.abl,cop.cond,v3s
lerimdensek num.pl,p1s,case.abl,cop.cond,v1p
lerimdenseniz num.pl,p1s,case.abl,cop.cond,v2p
lerimdenseler num.pl,p1s,case.abl,cop.cond,v3p
lerimdenlerse num.pl,p1s,case.abl,cop.cond,v3p
lerimdenlerse num.pl,p1s,case.abl,cop.pres,v3p,cop.cond,v3s
lerimdenim num.pl,p1s,case.abl,cop.pres,v1s
lerimdensin num.pl,p1s,case.abl,cop.pres,v2s
lerimdeniz num.pl,p1s,case.abl,cop.pres,v1p
lerimdensiniz num.pl,p1s,case.abl,cop.pres,v2p
lerimdenler num.pl,p1s,case.abl,cop.pres,v3p
lerimdenlerken num.pl,p1s,case.abl,cop.pres,v3p,converb
lerimdendim num.pl,p1s,case.abl,cop.past,v1s
lerimdendin num.pl,p1s,case.abl,cop.past,v2s
lerimdendi num.pl,p1s,case.abl,cop.past,v3s
lerimdendik num.pl,p1s,case.abl,cop.past,v1p
lerimdendiniz num.pl,p1s,case.abl,cop.past,v2p
lerimdendiler num.pl,p1s,case.abl,cop.past,v3p
lerimdenlerdi num.pl,p1s,case.abl,cop.past,v3p
lerimdenimdir num.pl,p1s,case.abl,cop.gen.1p.sg
lerimdensindir num.pl,p1s,case.abl,cop.gen.2p.sg
lerimdendir num.pl,p1s,case.abl,cop.gen.3p.sg
lerimdenizdir num.pl,p1s,case.abl,cop.gen.1p.pl
lerimdensinizdir num.pl,p1s,case.abl,cop.gen.2p.pl
lerimdendirler num.pl,p1s,case.abl,cop.gen.3p.pl
lerimdenlerdir num.pl,p1s,case.abl,cop.gen.3p.pl
lerimdenmişim num.pl,p1s,case.abl,cop.evid,v1s
lerimdenmişsin num.pl,p1s,case.abl,cop.evid,v2s
lerimdenmiş num.pl,p1s,case.abl,cop.evid,v3s
lerimdenmişiz num.pl,p1s,case.abl,cop.evid,v1p
lerimdenmişsiniz num.pl,p1s,case.abl,cop.evid,v2p
lerimdenmişler num.pl,p1s,case.abl,cop.evid,v3p
lerimdenlermiş num.pl,p1s,case.abl,cop.evid,v3p
lerimde num.pl,p1s,case.loc
lerimdeyken num.pl,p1s,case.loc,converb
lerimdeykenki num.pl,p1s,case.loc,converb,<ki>
lerimdeyimdir num.pl,p1s,case.loc,cop.gen.1p.sg
lerimdesindir num.pl,p1s,case.loc,cop.gen.2p.sg
lerimdedir num.pl,p1s,case.loc,cop.gen.3p.sg
lerimdeyizdir num.pl,p1s,case.loc,cop.gen.1p.pl
lerimdesinizdir num.pl,p1s,case.loc,cop.gen.2p.pl
lerimdedirler num.pl,p1s,case.loc,cop.gen.3p.pl
lerimdelerdir num.pl,p1s,case.loc,cop.gen.3p.pl
lerimdeydim num.pl,p1s,case.loc,cop.past,v1s
lerimdeydin num.pl,p1s,case.loc,cop.past,v2s
lerimdeydi num.pl,p1s,case.loc,cop.past,v3s
lerimdeydik num.pl,p1s,case.loc,cop.past,v1p
lerimdeydiniz num.pl,p1s,case.loc,cop.past,v2p
lerimdeydiler num.pl,p1s,case.loc,cop.past,v3p
lerimdeyim num.pl,p1s,case.loc,cop.pres,v1s
lerimdesin num.pl,p1s,case.loc,cop.pres,v2s
lerimdeyiz num.pl,p1s,case.loc,cop.pres,v1p
lerimdesiniz num.pl,p1s,case.loc,cop.pres,v2p
lerimdeler num.pl,p1s,case.loc,cop.pres,v3p
lerimdelerdi num.pl,p1s,case.loc,cop.past,v3p
lerimdelermiş num.pl,p1s,case.loc,cop.evid,v3p
lerimdelerken num.pl,p1s,case.loc,cop.pres,v3p,converb
lerimdeymiş num.pl,p1s,case.loc,cop.evid,v3s
lerimdeymişim num.pl,p1s,case.loc,cop.evid,v1s
lerimdeymişiz num.pl,p1s,case.loc,cop.evid,v1p
lerimdeymişler num.pl,p1s,case.loc,cop.evid,v3p
lerimdeymişsin num.pl,p1s,case.loc,cop.evid,v2s
