ye case.dat
dekiniymişiz case.loc,<ki>,case.acc,cop.evid,v1p
dekiniymişsiniz case.loc,<ki>,case.acc,cop.evid,v2p
dekiniymişler case.loc,<ki>,case.acc,cop.evid,v3p
dekiniyimdir case.loc,<ki>,case.acc,cop.gen.1p.sg
dekinisindir case.loc,<ki>,case.acc,cop.gen.2p.sg
dekinidir case.loc,<ki>,case.acc,cop.gen.3p.sg
dekiniyizdir case.loc,<ki>,case.acc,cop.gen.1p.pl
dekinisinizdir case.loc,<ki>,case.acc,cop.gen.2p.pl
dekinidirler case.loc,<ki>,case.acc,cop.gen.3p.pl
dekinilerdir case.loc,<ki>,case.acc,cop.gen.3p.pl
dekineyken case.loc,<ki>,case.dat,converb
dekineykenki case.loc,<ki>,case.dat,converb,<ki>
dekineysem case.loc,<ki>,case.dat,cop.cond,v1s
dekineysen case.loc,<ki>,case.dat,cop.cond,v2s
dekineyse case.loc,<ki>,case.dat,cop.cond,v3s
dekineysek case.loc,<ki>,case.dat,cop.cond,v1p
dekineyseniz case.loc,<ki>,case.dat,cop.cond,v2p
dekineyseler case.loc,<ki>,case.dat,cop.cond,v3p
dekineyim case.loc,<ki>,case.dat,cop.pres,v1s
dekinesin case.loc,<ki>,case.dat,cop.pres,v2s
dekineyiz case.loc,<ki>,case.dat,cop.pres,v1p
dekinesiniz case.loc,<ki>,case.dat,cop.pres,v2p
dekineler case.loc,<ki>,case.dat,cop.pres,v3p
dekineydim case.loc,<ki>,case.dat,cop.past,v1s
dekineydin case.loc,<ki>,case.dat,cop.past,v2s
dekineydi case.loc,<ki>,case.dat,cop.past,v3s
dekineydik case.loc,<ki>,case.dat,cop.past,v1p
dekineydiniz case.loc,<ki>,case.dat,cop.past,v2p
dekineydiler case.loc,<ki>,case.dat,cop.past,v3p
dekinelerdi case.loc,<ki>,case.dat,cop.past,v3p
dekineymişim case.loc,<ki>,case.dat,cop.evid,v1s
dekineymişsin case.loc,<ki>,case.dat,cop.evid,v2s
dekineymiş case.loc,<ki>,case.dat,cop.evid,v3s
dekineymişiz case.loc,<ki>,case.dat,cop.evid,v1p
dekineymişsiniz case.loc,<ki>,case.dat,cop.evid,v2p
dekineymişler case.loc,<ki>,case.dat,cop.evid,v3p
